,protein_name
6711,Biotin carboxylase
6712,Biotin synthase
6713,Branched-chain-amino-acid aminotransferase
6714,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
6715,CTP synthase
6716,Cadmium-translocating P-type ATPase
6717,Carbamoyl phosphate synthase large chain
6718,Carboxyl-terminal processing protease
6719,Carboxymethylenebutenolidase
6720,Carboxypeptidase G2
6721,Catalase
6722,Chemotaxis protein methyltransferase
6723,Choloylglycine hydrolase
6724,Chorismate synthase
6725,Citrate -synthase
6726,Citrate lyase subunit beta/citryl-CoA lyase/-citramalyl-CoA
6727,CoA-acylating methylmalonate-semialdehyde dehydrogenase
6728,Cobaltochelatase subunit CobT
6729,Coenzyme A biosynthesis bifunctional protein CoaBC [Includes: Phosphopantothenoylcysteine decarboxylase ; Phosphopantothenate--cysteine ligase ]
6730,"Corrinoid adenosyltransferase alamin adenosyltransferase) yrinic acid a,c-diamide"
6731,Cyclic di-GMP phosphodiesterase YfgF
6732,Cyclopropane-fatty-acyl-phospholipid synthase
6733,Cystathionine beta-lyase
6734,Cystathionine beta-synthase
6735,Cystathionine gamma-lyase
6736,Cystathionine gamma-synthase
6737,Cysteine synthase A
6738,Cysteine--tRNA ligase
6739,Cytochrome c oxidase subunit II
6740,D-3-phosphoglycerate dehydrogenase
6741,D-alanine--D-alanine ligase
6742,D-aminopeptidase
6743,D-glycerate 3-kinase
6744,DNA -methyltransferase
6745,DNA ligase
6746,DNA ligase ])
6747,DNA polymerase IV
6748,DNA topoisomerase 4 subunit A
6749,DNA-3-methyladenine glycosylase I
6750,DNA-3-methyladenine glycosylase II
6751,DNA-directed RNA polymerase subunit omega
6752,Delta-aminolevulinic acid dehydratase
6753,Deoxyribodipyrimidine photo-lyase
6754,Deoxyuridine 5'-triphosphate nucleotidohydrolase
6755,"Di-trans,poly-cis-decaprenylcistransferase"
6756,Diaminopimelate decarboxylase
6757,Diaminopimelate epimerase
6758,Dihydrofolate reductase
6759,Dihydrofolate synthase/folylpolyglutamate synthase
6760,Dihydrolipoyl dehydrogenase
6761,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
6762,Dihydroorotase
6763,Dihydroorotate dehydrogenase
6764,Dihydropteroate synthase
6765,Dihydroxy-acid dehydratase
6766,Dipeptidyl-peptidase-4
6767,Dolichol-phosphate mannosyltransferase
6768,Dual-specificity RNA methyltransferase RlmN -C)-methyltransferase)
6769,Dual-specificity RNA pseudouridine synthase RluF synthase)
6770,Electron transfer flavoprotein-ubiquinone oxidoreductase
6771,Enolase
6772,Enoyl-[acyl-carrier-protein] reductase [NADH]
6773,Epoxyqueuosine reductase
6774,Exodeoxyribonuclease 7 large subunit
6775,Exodeoxyribonuclease III
6776,Exopolyphosphatase
6777,Ferrochelatase
6778,Flavodoxin-dependent -4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
6779,Formamidopyrimidine-DNA glycosylase lyase MutM)
6780,"Fructose-1,6-bisphosphatase class 1"
6781,"Fructose-1,6-bisphosphate aldolase"
6782,Fumarate hydratase class II
6783,Fumarylpyruvate hydrolase
6784,GDP-L-fucose synthase
6785,"GDP-mannose 4,6-dehydratase"
6786,GMP synthase [glutamine-hydrolyzing]
6787,GTP cyclohydrolase 1
6788,GTP cyclohydrolase II
6789,GTP pyrophosphokinase rsh ppGpp synthase)
6790,Gamma-glutamyl phosphate reductase
6791,Geranylgeranyl diphosphate synthase type II
6792,Glucokinase
6793,Glucose-6-phosphate 1-dehydrogenase
6794,Glucose-6-phosphate isomerase
6795,Glutamate 5-kinase
6796,Glutamate dehydrogenase
6797,Glutamate racemase
6798,Glutamate synthase large chain
6799,Glutamate synthase large subunit
6800,Glutamate--cysteine ligase
6801,Glutamate--tRNA ligase
6802,Glutamate-ammonia-ligase adenylyltransferase
6803,Glutamine synthetase
6804,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
6805,Glutamine-dependent NAD synthetase synthase [glutamine-hydrolyzing])
6806,Glutamyl-tRNA amidotransferase subunit A
6807,Glutathione hydrolase proenzyme [Cleaved into: large chain; small chain]
6808,Glutathione reductase
6809,Glutathione synthetase
6810,Glyceraldehyde-3-phosphate dehydrogenase
6811,Glycerol kinase GlpK
6812,Glycerol-3-phosphate 1-O-acyltransferase
6813,Glycerol-3-phosphate dehydrogenase [NAD+] -dependent dehydrogenase) H-dependent dihydroxyacetone-phosphate reductase)
6814,Glycine oxidase
6815,Glyoxylate reductase
6816,Guanine deaminase
6817,"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"
6818,Guanylate kinase
6819,Heme ABC exporter ATP-binding protein CcmA
6820,Hippurate hydrolase
6821,Histidine ammonia-lyase
6822,Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase ; Phosphoribosyl-ATP pyrophosphatase ]
6823,Histidine--tRNA ligase
6824,Histidinol dehydrogenase
6825,Histidinol-phosphatase
6826,Histidinol-phosphate aminotransferase
6827,Holliday junction branch migration DNA helicase RuvB
6828,Holo-[acyl-carrier-protein] synthase
6829,"Homogentisate 1,2-dioxygenase"
6830,Homoserine O-acetyltransferase
6831,Homoserine dehydrogenase
6832,Homoserine kinase
6833,Hydroxyacylglutathione hydrolase
6834,Hydroxymethylglutaryl-CoA lyase yngG
6835,Imidazoleglycerol-phosphate dehydratase
6836,Imidazolonepropionase
6837,Indole-3-glycerol phosphate synthase
6838,Inorganic pyrophosphatase
6839,Inosine-5'-monophosphate dehydrogenase
6840,Inositol-1-monophosphatase
6841,Iron-hydroxamate import ATP-binding protein FhuC
6842,Isochorismatase
6843,Isocitrate dehydrogenase [NADP]
6844,Isocitrate lyase
6845,Isoleucine--tRNA ligase
6846,Isopentenyl-diphosphate delta-isomerase
6847,"Isovaleryl-CoA dehydrogenase, mitochondrial"
6848,KDO2-lipid IV lauroyltransferase
6849,Ketol-acid reductoisomerase )
6850,L-aspartate oxidase
6851,L-threonine 3-dehydrogenase
6852,L-threonine dehydratase
6853,Lactoylglutathione lyase
6854,"Lead, cadmium, zinc and mercury transporting ATPase Copper-translocating P-type"
6855,Leucine dehydrogenase
6856,Leucine--tRNA ligase
6857,Leucyl/phenylalanyl-tRNA--protein transferase
6858,LexA repressor
6859,Lipid-A-disaccharide synthase
6860,Lipoprotein signal peptidase
6861,Lipoyl synthase
6862,Lon protease
6863,Long-chain-fatty-acid--CoA ligase
6864,Lysine--tRNA ligase
6865,Lysophospholipase
6866,Malate dehydrogenase
6867,Malate synthase G
6868,Maleylpyruvate isomerase
6869,Malonate-semialdehyde dehydrogenase /methylmalonate-semialdehyde
6870,Malonyl CoA-acyl carrier protein transacylase
6871,Mannose-6-phosphate isomerase
6872,Membrane dipeptidase
6873,"Membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family"
6874,Mercuric reductase reductase)
6875,Meso-butanediol dehydrogenase/-butanediol dehydrogenase/diacetyl reductase
6876,Methionine adenosyltransferase
6877,Methionine aminopeptidase
6878,Methionine gamma-lyase
6879,Methionine synthase
6880,Methionine--tRNA ligase
6881,Methionyl-tRNA formyltransferase
6882,Methylated-DNA--protein-cysteine methyltransferase
6883,Methylenetetrahydrofolate reductase [NADH]
6884,Methylenetetrahydrofolate--tRNA--methyltransferase TrmFO -methyltransferase)
6885,Methylglutaconyl-CoA hydratase
6886,Methylmalonyl-CoA epimerase
6887,Muconate cycloisomerase 1
6888,Muconolactone Delta-isomerase
6889,Multifunctional fusion protein [Includes: Shikimate kinase ; 3-dehydroquinate synthase ]
6890,Muramoyltetrapeptide carboxypeptidase
6891,N-acetyl-gamma-glutamyl-phosphate reductase
6892,N-acetylmannosaminyltransferase
6893,N-acetylmuramoyl-L-alanine amidase
6894,N-anthranilate isomerase
6895,N-carbamoylputrescine amidase
6896,N-succinylarginine dihydrolase
6897,N5-carboxyaminoimidazole ribonucleotide mutase imidazole mutase)
6898,N5-carboxyaminoimidazole ribonucleotide synthase imidazole synthetase)
6899,NAD diphosphatase
6900,NAD kinase
6901,NADH dehydrogenase
6902,NADH dehydrogenase H:quinone oxidoreductase)
6903,NADH-quinone oxidoreductase subunit L
6904,NADP-dependent malic enzyme
6905,NADPH-dependent 7-cyano-7-deazaguanine reductase reductase)
6906,Nicotinamide-nucleotide amidase
6907,Nicotinate phosphoribosyltransferase
6908,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase -alpha-phosphoribosyltransferase)
6909,Nitronate monooxygenase
6910,Non-heme chloroperoxidase
6911,Nucleoside diphosphate kinase
6912,O-acetylhomoserine aminocarboxypropyltransferase
6913,Octanoyltransferase
6914,Octaprenyl-diphosphate synthase
6915,Oligopeptidase B
6916,Ornithine carbamoyltransferase
6917,Orotate phosphoribosyltransferase
6918,Orotidine 5'-phosphate decarboxylase
6919,Oxygen-dependent coproporphyrinogen-III oxidase
6920,Para-aminobenzoate synthase component 1
6921,Penicillin-binding protein 1A
6922,Peptide deformylase
6923,Peptide methionine sulfoxide reductase MsrA -S-oxide reductase)
6924,Peptide methionine sulfoxide reductase MsrB -S-oxide reductase)
6925,Peptidyl-dipeptidase Dcp
6926,Peptidyl-tRNA hydrolase
6927,Phenylalanine--tRNA ligase alpha subunit
6928,Phenylalanine-4-hydroxylase
6929,Phosphate import ATP-binding protein PstB
6930,Phosphatidate cytidylyltransferase
6931,Phosphatidylglycerol lysyltransferase
6932,Phosphatidylglycerophosphatase C
6933,Phosphinothricin N-acetyltransferase
6934,Phospho-2-dehydro-3-deoxyheptonate aldolase
6935,Phospho-N-acetylmuramoyl-pentapeptide-transferase
6936,Phosphoenolpyruvate carboxykinase [GTP]
6937,Phosphoenolpyruvate carboxylase
6938,Phosphoenolpyruvate-protein phosphotransferase
6939,Phosphoglucomutase
6940,Phosphogluconate dehydratase
6941,Phosphoglucosamine mutase
6942,Phosphoglycerate kinase
6943,Phosphoglycolate phosphatase
6944,Phosphomannomutase/phosphoglucomutase
6945,Phosphomethylpyrimidine synthase
6946,Phosphonate ABC transporter ATP-binding protein
6947,Phosphopantetheine adenylyltransferase
6948,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
6949,Phosphoribosylamine--glycine ligase
6950,Phosphoribosylaminoimidazole-succinocarboxamide synthase
6951,Phosphoribosylformylglycinamidine cyclo-ligase
6952,Phosphoribosylformylglycinamidine synthase subunit PurL
6953,Phosphoribosylglycinamide formyltransferase
6954,Phytoene synthase
6955,Poly depolymerase
6956,Poly polymerase
6957,Polyphosphate kinase
6958,Polyribonucleotide nucleotidyltransferase
6959,Porphobilinogen deaminase
6960,Potassium-transporting ATPase subunit B
6961,Prephenate dehydrogenase
6962,Prepilin leader peptidase/N-methyltransferase
6963,Probable cytosol aminopeptidase
6964,Probable nicotinate-nucleotide adenylyltransferase diphosphorylase) pyrophosphorylase)
6965,Probable periplasmic serine endoprotease DegP-like
6966,Probable succinyl-CoA:3-ketoacid-coenzyme A transferase subunit
6967,Probable transaldolase
6968,Proline iminopeptidase
6969,Proline--tRNA ligase
6970,Protein-L-isoaspartate O-methyltransferase
6971,Protein-glutamate methylesterase/protein-glutamine glutaminase
6972,Purine nucleosidase
6973,Putative agmatine deiminase
6974,Putative pterin-4-alpha-carbinolamine dehydratase
6975,Pyridoxine 5'-phosphate synthase
6976,Pyridoxine/pyridoxamine 5'-phosphate oxidase
6977,Pyrroline-5-carboxylate reductase
6978,Pyruvate dehydrogenase E1 component subunit alpha
6979,Pyruvate kinase
6980,"Pyruvate, phosphate dikinase"
6981,Queuine tRNA-ribosyltransferase
6982,Quinolinate synthase
6983,Quinone oxidoreductase 1
6984,Re/Si-specific NAD transhydrogenase subunit alpha
6985,Release factor glutamine methyltransferase MTase PrmC)
6986,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
6987,Riboflavin synthase
6988,Ribokinase
6989,Ribonuclease 3
6990,Ribonuclease D
6991,Ribonuclease E
6992,Ribonuclease HII
6993,Ribonuclease P protein component
6994,Ribonuclease PH
6995,Ribonucleoside-diphosphate reductase subunit beta
6996,Ribose-5-phosphate isomerase A
6997,Ribose-phosphate pyrophosphokinase
6998,Ribosomal RNA large subunit methyltransferase E -methyltransferase)
6999,Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH)
7000,Ribosomal RNA large subunit methyltransferase I
7001,Ribosomal RNA large subunit methyltransferase J -N6)-methyltransferase)
7002,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
7003,Ribosomal RNA small subunit methyltransferase C
7004,Ribosomal RNA small subunit methyltransferase E
7005,Ribosomal RNA small subunit methyltransferase G
7006,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
7007,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
7008,Ribosomal large subunit pseudouridine synthase C
7009,Ribosomal-protein-alanine acetyltransferase
7010,Ribulose-phosphate 3-epimerase
7011,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
7012,S-formylglutathione hydrolase
7013,S-glutathione dehydrogenase
7014,"Selenide, water dikinase"
7015,Selenocysteine-containing peroxiredoxin PrxU
7016,Serine 3-dehydrogenase
7017,Serine acetyltransferase
7018,Serine hydroxymethyltransferase
7019,Serine--tRNA ligase synthetase)
7020,Serine/threonine-protein kinase HipA
7021,Shikimate dehydrogenase )
7022,Signal peptidase I
7023,Succinate dehydrogenase iron-sulfur subunit
7024,Succinate--CoA ligase [ADP-forming] subunit alpha
7025,Succinate-semialdehyde dehydrogenase/glutarate-semialdehyde dehydrogenase
7026,Succinyl-CoA:acetate CoA-transferase
7027,Succinyl-diaminopimelate desuccinylase
7028,Succinylglutamate-semialdehyde dehydrogenase
7029,Superoxide dismutase
7030,Tetraacyldisaccharide 4'-kinase
7031,Tetrapyrrole methylase family protein/MazG protein/ATP diphosphatase
7032,Thiamine-monophosphate kinase
7033,Thiamine-phosphate synthase
7034,Thiazole synthase
7035,Thiol:disulfide interchange protein DsbD
7036,Thioredoxin reductase
7037,Thiosulfate/3-mercaptopyruvate sulfurtransferase
7038,Threonine aldolase
7039,Threonine synthase
7040,Threonine--tRNA ligase
7041,Threonylcarbamoyl-AMP synthase
7042,Thymidylate kinase
7043,Thymidylate synthase
7044,Trans-aconitate 2-methyltransferase
7045,Transketolase
7046,Trehalose 6-phosphate phosphatase
7047,Trehalose-6-phosphate synthase
7048,Trigger factor
7049,Trimethylamine monooxygenase
7050,Triosephosphate isomerase
7051,"Tryptophan 2,3-dioxygenase"
7052,Tryptophan synthase alpha chain
7053,Tryptophan--tRNA ligase
7054,Type I DNA topoisomerase
7055,Type III pantothenate kinase
7056,Tyrosine--tRNA ligase
7057,UDP-3-O-acyl-N-acetylglucosamine deacetylase
7058,UDP-3-O-acylglucosamine N-acyltransferase
7059,UDP-N-acetylenolpyruvoylglucosamine reductase
7060,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
7061,UDP-N-acetylglucosamine--N-acetylmuramyl- pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
7062,UDP-N-acetylmuramate--L-alanine ligase
7063,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
7064,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
7065,UDP-N-acetylmuramoylalanine--D-glutamate ligase
7066,UDP-glucose 6-dehydrogenase
7067,UDP-glucuronate 4-epimerase
7068,UDP-glucuronate decarboxylase
7069,UDP-sulfoquinovose synthase
7070,UTP--glucose-1-phosphate uridylyltransferase
7071,Ubiquinone biosynthesis O-methyltransferase
7072,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
7073,Uncharacterized protein
7074,Undecaprenyl-diphosphatase
7075,Uridine kinase
7076,Uridylate kinase
7077,Urocanate hydratase
7078,Uroporphyrinogen decarboxylase
7079,Uroporphyrinogen-III synthase
7080,Valine--tRNA ligase
7081,Xaa-Pro aminopeptidase
7082,Xaa-Pro dipeptidase
7083,aldehyde dehydrogenase )
7084,aminomethyltransferase
7085,asparagine synthase
7086,aspartate kinase
7087,aspartate transaminase
7088,beta-N-acetylhexosaminidase
7089,biotin--[biotin carboxyl-carrier protein] ligase
7090,carbonic anhydrase
7091,"catechol 1,2-dioxygenase"
7092,cysteine desulfurase
7093,dITP/XTP pyrophosphatase
7094,dTDP-L-rhamnose 4-epimerase
7095,diacetyl reductase [-acetoin forming]
7096,diguanylate cyclase
7097,enoyl-CoA hydratase
7098,ferredoxin--NADP reductase
7099,fructokinase
7100,fumarylacetoacetase
7101,glutaryl-CoA dehydrogenase
7102,glutathione transferase
7103,glycerophosphodiester phosphodiesterase
7104,glycine dehydrogenase
7105,histidine kinase
7106,hydroxymethylpyrimidine kinase
7107,isochorismate synthase
7108,methylmalonyl-CoA mutase
7109,nicotinamidase
7110,nicotinate-nucleotide diphosphorylase
7111,nitric oxide dioxygenase
7112,ornithine decarboxylase
7113,phosphoserine transaminase
7114,prephenate dehydratase
7115,prolyl oligopeptidase
7116,propionyl-CoA carboxylase
7117,protein-tyrosine-phosphatase
7118,pyridoxal kinase
7119,site-specific DNA-methyltransferase
7120,tRNA -)-methyltransferase
7121,tRNA -)-methyltransferase -N)-methyltransferase) -methyltransferase)
7122,tRNA -2'-O)-methyltransferase -methyltransferase TrmL)
7123,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC sU protein) [Includes: sU34)-methyltransferase ; FAD-dependent cmnmsU34 oxidoreductase ]
7124,tRNA N6-adenosine threonylcarbamoyltransferase A synthase) A37 threonylcarbamoyladenosine biosynthesis protein TsaD)
7125,tRNA dimethylallyltransferase
7126,tRNA pseudouridine synthase A synthase)
7127,tRNA pseudouridine synthase B synthase)
7128,tRNA pseudouridine32 synthase/23S rRNA pseudouridine746 synthase
7129,tRNA-2-methylthio-N-dimethylallyladenosine synthase adenosine tRNA methylthiotransferase MiaB) A37 methylthiotransferase)
7130,tRNA-lysidine synthase -2-lysyl-cytidine synthase) -lysidine synthetase)
7131,type I site-specific deoxyribonuclease
7132,"1,4-alpha-glucan branching enzyme GlgB -glucan enzyme)"
7133,1-deoxy-D-xylulose 5-phosphate reductoisomerase
7134,1-deoxy-D-xylulose-5-phosphate synthase
7135,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
7136,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
7137,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
7138,2-dehydro-3-deoxy-phosphogluconate aldolase
7139,2-dehydropantoate 2-reductase
7140,4-alpha-glucanotransferase
7141,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase -2-C-methyl-D-erythritol kinase)
7142,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase -butenyl 4-diphosphate synthase)
7143,5-formyltetrahydrofolate cyclo-ligase
7144,"6-O-methylguanine DNA methyltransferase, binding domain protein"
7145,ATP-dependent 6-phosphofructokinase
7146,Acetate kinase
7147,Adenine phosphoribosyltransferase
7148,Adenylate kinase
7149,Alanine racemase
7150,Alanine--tRNA ligase
7151,"Alcohol dehydrogenase, iron-dependent"
7152,"Alpha-1,4 glucan phosphorylase"
7153,Anaerobic ribonucleoside-triphosphate reductase
7154,Arginine deiminase
7155,Arginine--tRNA ligase
7156,Asparagine--tRNA ligase
7157,Aspartate--ammonia ligase
7158,Aspartate--tRNA ligase
7159,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase ; Methenyltetrahydrofolate cyclohydrolase ]
7160,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
7161,Chorismate synthase
7162,Cysteine--tRNA ligase
7163,Cytidine deaminase
7164,D-alanine--D-alanine ligase
7165,DNA ligase ])
7166,DNA polymerase IV
7167,DNA-directed RNA polymerase subunit beta
7168,Deoxyribose-phosphate aldolase
7169,Dephospho-CoA kinase
7170,Enolase
7171,Exodeoxyribonuclease 7 small subunit
7172,Exodeoxyribonuclease III
7173,Formamidopyrimidine-DNA glycosylase lyase MutM)
7174,Formate acetyltransferase
7175,Formate--tetrahydrofolate ligase
7176,"Fructose-1,6-bisphosphate aldolase, class II"
7177,GMP synthase [glutamine-hydrolyzing]
7178,GTP diphosphokinase
7179,Glucosamine-6-phosphate deaminase
7180,Glucose-1-phosphate adenylyltransferase
7181,Glucose-6-phosphate isomerase
7182,Glutamate--tRNA ligase
7183,Glutamine-dependent NAD synthetase synthase [glutamine-hydrolyzing])
7184,Glycerol-3-phosphate dehydrogenase [NAD+] -dependent dehydrogenase) H-dependent dihydroxyacetone-phosphate reductase)
7185,Glycine--tRNA ligase
7186,Glycogen synthase
7187,Guanylate kinase
7188,Histidine--tRNA ligase
7189,Hypoxanthine phosphoribosyltransferase
7190,Inosine 5-monophosphate dehydrogenase
7191,Isoleucine--tRNA ligase
7192,L-lactate dehydrogenase
7193,L-ribulose-5-phosphate 4-epimerase
7194,L-serine ammonia-lyase
7195,L-threonylcarbamoyladenylate synthase
7196,Leucine--tRNA ligase
7197,Lipoprotein signal peptidase
7198,Lon protease
7199,Lysine--tRNA ligase
7200,Metal-dependent carboxypeptidase
7201,Methionine adenosyltransferase
7202,Methionine aminopeptidase
7203,Methionine--tRNA ligase
7204,Methionyl-tRNA formyltransferase
7205,Methylenetetrahydrofolate--tRNA--methyltransferase TrmFO -methyltransferase)
7206,N-acetylglucosamine-6-phosphate deacetylase
7207,NAD diphosphatase
7208,Nicotinate phosphoribosyltransferase
7209,Ornithine carbamoyltransferase
7210,"PTS system, glucose-like IIB component"
7211,Peptidase T
7212,Peptide deformylase
7213,Peptide methionine sulfoxide reductase MsrA -S-oxide reductase)
7214,Peptidyl-prolyl cis-trans isomerase
7215,Peptidyl-tRNA hydrolase
7216,Phenylalanine--tRNA ligase beta subunit
7217,Phosphate acetyltransferase
7218,Phosphatidate cytidylyltransferase
7219,Phospho-N-acetylmuramoyl-pentapeptide-transferase
7220,Phosphoenolpyruvate-protein phosphotransferase
7221,Phosphoglucosamine mutase
7222,Phosphoglycerate kinase
7223,Phosphopantetheine adenylyltransferase
7224,Phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
7225,Polyribonucleotide nucleotidyltransferase
7226,Probable 2-phosphosulfolactate phosphatase
7227,Probable dual-specificity RNA methyltransferase RlmN -C)-methyltransferase)
7228,Proline--tRNA ligase
7229,Purine nucleoside phosphorylase
7230,Putative N-acetylmannosamine-6-phosphate 2-epimerase
7231,Putative tRNA -2'-O)-methyltransferase -methyltransferase)
7232,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
7233,Pyruvate formate-lyase-activating enzyme
7234,Pyruvate kinase
7235,Pyruvate synthase
7236,"Pyruvate, phosphate dikinase"
7237,Queuine tRNA-ribosyltransferase
7238,Riboflavin biosynthesis protein [Includes: kinase ; FMN adenylyltransferase ]
7239,Ribokinase
7240,Ribonuclease 3
7241,Ribonuclease HIII
7242,Ribonuclease M5
7243,Ribonuclease P protein component
7244,Ribonuclease Z
7245,Ribonucleoside-diphosphate reductase
7246,Ribose-5-phosphate isomerase B
7247,Ribose-phosphate pyrophosphokinase
7248,Ribosomal RNA large subunit methyltransferase H -methyltransferase) -methyltransferase RlmH)
7249,Ribosomal RNA small subunit methyltransferase A -N/adenine-N)-dimethyltransferase) dimethyltransferase)
7250,Ribosomal RNA small subunit methyltransferase E
7251,Ribosomal RNA small subunit methyltransferase H C1402 methyltransferase) -)-methyltransferase RsmH)
7252,Ribosomal RNA small subunit methyltransferase I -methyltransferase RsmI)
7253,Ribulose-phosphate 3-epimerase
7254,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
7255,Serine--tRNA ligase
7256,Signal peptidase I
7257,Thiamine diphosphokinase
7258,Thioredoxin reductase
7259,Threonine--tRNA ligase
7260,Thymidine kinase
7261,Thymidylate kinase
7262,Triosephosphate isomerase
7263,Tryptophan--tRNA ligase
7264,Type I restriction enzyme endonuclease subunit
7265,Type III pantothenate kinase
7266,Tyrosine--tRNA ligase
7267,UDP-N-acetylenolpyruvoylglucosamine reductase
7268,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
7269,UDP-N-acetylglucosamine--N-acetylmuramyl- pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
7270,UDP-N-acetylmuramate--L-alanine ligase
7271,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
7272,UDP-N-acetylmuramoylalanine--D-glutamate ligase
7273,Uncharacterized protein
7274,Undecaprenyl-diphosphatase
7275,Uracil phosphoribosyltransferase
7276,Uracil-DNA glycosylase
7277,Uridine kinase
7278,Uridylate kinase
7279,Valine--tRNA ligase
7280,Xanthine phosphoribosyltransferase
7281,acylphosphatase
7282,adenosylhomocysteine nucleosidase
7283,cysteine desulfurase
7284,dITP/XTP pyrophosphatase
7285,dUTP diphosphatase
7286,histidine kinase
7287,inorganic diphosphatase
7288,membrane dipeptidase
7289,nicotinate-nucleotide adenylyltransferase
7290,non-specific serine/threonine protein kinase
7291,peptide chain release factor N-glutamine methyltransferase
7292,phosphoglucomutase
7293,protein-tyrosine-phosphatase
7294,site-specific DNA-methyltransferase
7295,tRNA -)-methyltransferase
7296,tRNA -)-methyltransferase -N)-methyltransferase) -methyltransferase)
7297,tRNA N6-adenosine threonylcarbamoyltransferase A synthase) A37 threonylcarbamoyladenosine biosynthesis protein TsaD)
7298,tRNA dimethylallyltransferase
7299,tRNA pseudouridine synthase B synthase)
7300,tRNA-2-methylthio-N-dimethylallyladenosine synthase adenosine tRNA methylthiotransferase MiaB) A37 methylthiotransferase)
7301,tRNA-lysidine synthase -2-lysyl-cytidine synthase) -lysidine synthetase)
7302,tRNA-specific adenosine deaminase
7303,Uncharacterized protein
7304,-2-haloacid dehalogenase
7305,1--5-[methylideneamino] imidazole-4-carboxamide isomerase
7306,1-acyl-sn-glycerol-3-phosphate acyltransferase
7307,1-deoxy-D-xylulose 5-phosphate reductoisomerase
7308,1-deoxy-D-xylulose-5-phosphate synthase
7309,16S rRNA -N)-methyltransferase RsmD
7310,2'-deoxycytidine 5'-triphosphate deaminase
7311,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
7312,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
7313,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
7314,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
7315,2-dehydro-3-deoxygalactonokinase
7316,2-dehydro-3-deoxygluconokinase
7317,2-dehydro-3-deoxyphosphooctonate aldolase
7318,2-dehydropantoate 2-reductase
7319,2-deoxy-D-gluconate 3-dehydrogenase
7320,2-isopropylmalate synthase
7321,2-nitropropane dioxygenase
7322,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
7323,2-oxoglutarate dehydrogenase E1 component
7324,23S rRNA methyltransferase
7325,"3',5'-bisphosphate nucleotidase CysQ ,5-bisphosphonucleoside 3'-phosphohydrolase)"
7326,3-dehydroquinate dehydratase
7327,3-dehydroquinate synthase
7328,3-deoxy-D-manno-octulosonic acid transferase)
7329,3-deoxy-manno-octulosonate cytidylyltransferase
7330,"3-hydroxyacyl-CoA dehydrogenase, short chain enoyl-CoA hydratase"
7331,3-hydroxybutyrate dehydrogenase
7332,3-hydroxybutyryl-CoA dehydratase
7333,3-hydroxybutyryl-CoA dehydrogenase
7334,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
7335,3-hydroxyisobutyrate dehydrogenase
7336,3-isopropylmalate dehydratase large subunit
7337,3-isopropylmalate dehydrogenase
7338,3-mercaptopyruvate sulfurtransferase
7339,3-methyl-2-oxobutanoate hydroxymethyltransferase
7340,"3-oxoacid CoA-transferase, A subunit"
